status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
58736997707_10153961267437708,,Team Marco,photo,https://www.facebook.com/teammarco16/photos/a.1708560259372773.1073741828.1669681193260680/1779805158914949/?type=3,2016-03-03 20:36:42,5253,1157,1
58736997707_10153961150862708,"If we do what needs to be done, the American dream will not just survive, it will change more lives than ever before.",This Video Really Captures What the 2016 Election Needs to Be About,link,https://marcorubio.com/news/video-american-dream-rubio/?utm_source=Facebook&utm_medium=Link_Post&utm_term=New_American_Century&utm_content=AmericanDream&utm_campaign=Daily_Social_Organic&utm_0id=030316v,2016-03-03 19:15:32,2206,620,294
58736997707_10153960618797708,Proud to welcome New Mexico Governor Susana Martinez to our team!,Big Get: Susana Martinez Endorses Marco Rubio,link,https://marcorubio.com/news/susana-martinez-marco-rubio-endorsement/?utm_source=Facebook&utm_medium=Link_Post&utm_term=New_American_Century&utm_content=SusanaMartinezEndorsement&utm_campaign=Daily_Social_Organic&utm_0id=030316c,2016-03-03 14:45:59,7088,1217,582
58736997707_10153960339767708,Donald Trump built his campaign around promising he’ll keep jobs in America. But he's praised outsourcing jobs abroad:,Donald Trump Held This ‘Unpopular’ Position...Until He Wanted to Be President,link,https://marcorubio.com/news/donald-trump-outsourcing-american-jobs/?utm_source=Facebook&utm_medium=Link_Post&utm_term=DonaldTrump&utm_content=TrumpOutsourcingJobs&utm_campaign=Daily_Social_Organic&utm_0id=030216e,2016-03-03 12:46:17,2793,1597,425
58736997707_10153958029677708,"This week, Donald Trump got one step closer to going to trial for fraud. Here's why:",Trump Gets One Step Closer to Going to Court for Fraud While Running for President,link,https://marcorubio.com/news/donald-trump-university-fraud-trial/?utm_source=Facebook&utm_medium=Link_Post&utm_term=DonaldTrump&utm_content=TrumpUniversityFraudCase&utm_campaign=Daily_Social_Organic&utm_0id=030116k,2016-03-02 12:33:33,7267,5981,1693
58736997707_10153957588217708,"Last night, we earned support from all over the country -- and are moving forward toward the goal of winning the nomination.",Marco Rubio Knows What It’s Like to Be an Underdog — One That Wins,link,https://marcorubio.com/news/super-tuesday-rally-underdogs-that-win/?utm_source=Facebook&utm_medium=Link_Post&utm_term=New_American_Century&utm_content=SuperTuesdayRally&utm_campaign=Daily_Social_Organic&utm_0id=030116l,2016-03-02 09:04:43,7831,4106,473
58736997707_10153956656457708,Sign up to be part of our team. Because the future of America — and the conservative movement — is at stake.,Stop Donald Trump. Join Marco's Team,link,https://marcorubio.com/stop-donald-trump-join-marcos-team/?utm_source=Facebook&utm_medium=Link_Post&utm_term=New_American_Century&utm_content=StopTrumpSuperTuesday&utm_campaign=Daily_Social_Organic&utm_0id=022516j,2016-03-01 22:01:53,1481,3855,205
58736997707_10153955920452708,"There is so much at stake in this election. Watch and share this video, and get as many people as you can out to vote for me today on Super Tuesday.",,video,https://www.facebook.com/MarcoRubio/videos/10153955920452708/,2016-03-01 16:27:02,5258,2812,1009
58736997707_10153955482992708,"I've been making jokes on the trail, but here's the scary reality. Donald Trump is dangerous to our country — and here's why:",Rubio: Donald Trump Is Dangerous,link,https://marcorubio.com/news/marco-rubio-donald-trump-dangerous-joke/?utm_source=Facebook&utm_medium=Link_Post&utm_term=New_American_Century&utm_content=MarcosLetterAboutTrump&utm_campaign=Daily_Social_Organic&utm_0id=030116f,2016-03-01 12:22:56,16882,3719,2534
58736997707_10153955115287708,,Team Marco,link,http://hotair.com/archives/2016/02/29/caucus-time-why-i-choose-marco-rubio/,2016-03-01 09:45:24,6100,1405,0
